2023-05-31 17:39:30.443 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.jobmaster.JobMaster - JobManager successfully registered at ResourceManager, leader id: a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.444 [flink-akka.actor.default-dispatcher-7] INFO  o.a.f.r.r.slotmanager.DeclarativeSlotManager - Received resource requirements from job e14dd5d7679c9d9f3f0a665935f8a033: [ResourceRequirement{resourceProfile=ResourceProfile{UNKNOWN}, numberOfRequiredSlots=12}]
2023-05-31 17:39:30.510 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request d64c96ad6ed6e3b8e971f640f44a3ced for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.514 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for d64c96ad6ed6e3b8e971f640f44a3ced.
2023-05-31 17:39:30.515 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Add job e14dd5d7679c9d9f3f0a665935f8a033 for job leader monitoring.
2023-05-31 17:39:30.516 [mini-cluster-io-thread-2] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Try to register at job manager akka://flink/user/rpc/jobmanager_3 with leader id e1cf3635-a7c1-47cb-b31c-66e3a74687b8.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request fb2884c1dd8e259b77c6ed9f406e4313 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for fb2884c1dd8e259b77c6ed9f406e4313.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 6f7ac8c74c42ba5309472468f7544d36 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 6f7ac8c74c42ba5309472468f7544d36.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 6be8959d82fc3eda6482b8a76070fec6 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-7] INFO  o.a.f.runtime.taskexecutor.DefaultJobLeaderService - Resolved JobManager address, beginning registration
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 6be8959d82fc3eda6482b8a76070fec6.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 8da81da0e713b99065156cd897733f12 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 8da81da0e713b99065156cd897733f12.
2023-05-31 17:39:30.517 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 597aa62e62e681739a7bd11ad52d1591 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 597aa62e62e681739a7bd11ad52d1591.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 7235cf651573e48cbcaf5a829b3d777f for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 7235cf651573e48cbcaf5a829b3d777f.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 9b331430048a41acd8620cccbf10daab for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 9b331430048a41acd8620cccbf10daab.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 1ee8c682c53f8958c7189a3a23d7a18f for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 1ee8c682c53f8958c7189a3a23d7a18f.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request 5c600be3f9bc5a0151ec1db4656eb4a0 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.518 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for 5c600be3f9bc5a0151ec1db4656eb4a0.
2023-05-31 17:39:30.519 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Receive slot request b76f9e2d10202b781eaad335e927dce7 for job e14dd5d7679c9d9f3f0a665935f8a033 from resource manager with leader id a4b15ebb0c668164abb454eb25c646a2.
2023-05-31 17:39:30.519 [flink-akka.actor.default-dispatcher-6] INFO  org.apache.flink.runtime.taskexecutor.TaskExecutor - Allocated slot for b76f9e2d10202b781eaad335e927dce7.
